bag_id,source_type,record_id,position
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:8e338322675f9f3b41c8a286,37
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:8ec95c34a8b8b369b125ccfe,38
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:e5bf49c88c42a8a6b1a3abc9:0000,39
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:a94fa1609def6c4f56f3ea1f:0000,40
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:331066203cd83ca04542bf66:0000,41
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:db6e0d64817c74ca45e7a5ef:0000,42
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:69fc5eceb9ef2f4a9091f2fc:0000,43
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:b0bee4589570abf88745d3b5,44
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:63062b6869ac07d64ee379da:0000,45
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:cfaf7ded190ddca845dfa1ad:0000,46
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:866c8565cd79ddab2c460d15:0000,47
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:49c0709e9b5288cb9cac5fb6,48
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:3754afcca23c3f89297d2774,49
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:989238e6b8ab5d79d931b712:0000,50
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:94c2cb592f2e2e5e4825713d,51
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:f9422d33a67ff7ab33b3ad02,52
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:64b0526d73e36c7d1e91eb36:0000,53
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:5ed57e1985c172ed27a25526:0000,54
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:d357a0696e5eaa6d50fc55cc,55
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:0501f06cbc3b462682f1ea02:0000,56
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:49037f3fa9b795d81940c068,57
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:06c31cc9dc9b14620ad80793:0000,58
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:3b8326b0b77f9ac23eb5448b:0000,59
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:a7a44a0c78a8ce56c0ef70de,60
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:a73a3701f788f082e6f2ea58:0000,61
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:b9b3108cdadbe03ec871eaa3,62
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:0e0b061d43a2d480fac0f06d:0000,63
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:aaaff8b1322c71b3c0326a4b,64
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:de21dbe0b1bcb4a2e2ff0c15,65
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:32cb16b90714d5f35b144ec4,66
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:de3e8f01a5381fce2844957a:0000,67
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:071c434c8256b436013a0a4b,68
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:393722a875c3d475ce07a8ee:0000,69
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:70c75d2bec62286b4cc4a613,70
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:7bfc302861953b41413354eb:0000,71
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:ee135c4b691eb6820549df78:0000,72
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:c2fa09832cea8c1cae08e174,73
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:7e5ededdf3c2791b29f92893,74
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:cbdafd394f9a5039b55cb86d,75
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:53994d643c96132461dad740,76
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:869e851c035230153099fe50:0000,77
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:fd2df0a9151337b5ab27a83e:0000,78
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:df0bddfdc1fa17194b576b9b,79
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:f76e8e42f65325da9c5361d5:0000,80
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:3f6e9ddf8fb8e9c3818fbf03:0000,81
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:f75604a4c3f4b1ab27ab4143,82
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:4e4d20e72e3a8754b147cf81,83
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:929f1103afa31124f200426f:0000,84
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:4f402b737b50e87517fff884,85
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:c4ce3f915e416c22498b58c0,86
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:411b12223657c2c5bbdc7ab4:0000,87
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:bd9181b1c51dcb1369f35fae:0000,88
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:91a4a1fe0f5d82d538b03ecd,89
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:697f470f5ceda1b4eddcd1f4:0000,90
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:f61cbacc55473168a665de3a:0000,91
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:d10348508ebb8d8caed1c945:0000,92
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:956eb7eca42ea438e69f2932,93
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:dbb6a4e4d14275dd125d7018:0000,94
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:e4c830a724f1a64458aa7c32:0000,95
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:29cefc82d406a7d0e662f4cf:0000,96
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:41cc3c31677f8057ace46ba9,97
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:522461135f4e9c8f2aad8b92,98
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:f04c617a48e9ddb4a74dab4f:0000,99
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:f40e0756e6edfb1d305f7259:0000,100
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:e51660201d8e72ba1b8bebb2,101
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:697f2acd2f93f2a5a9f1dacf,102
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:f6998efab9bdcd5aad210409,103
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:960fe8285fc721ecaf4ca247:0000,104
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:c6cceb01a9e33cd04800605d:0000,105
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:993acf04f4a815acdc4ae359,106
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:4ebe0b6cf43a03a0721d7fc2,107
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:999c75cfe2533b5292346823:0000,108
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:987f08cc75f772117094f417:0000,109
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:d3d529cb0bff3a89009534e7:0000,110
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:dffedd7ee4b349277989eb01:0000,111
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:54fdb1e3426e4b274b6111d0,112
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:46a5c5ff16c72e4909241652:0000,113
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:a2e226e5b485803c24fb62f6,114
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:b84a6356af7e3475202f0bbb:0000,115
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:6f41b83c4d51d6922448f3c7:0000,116
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:39cb66571c4666a972bd1fde,117
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:fae1779a972134da0d9cd4c4:0000,118
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:e35dd8480ee8148c25c18f90,119
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:9d37fd615c285273cadbacce,120
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:9247044233a36881f6c45a5a:0000,121
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:5f750e0fc01bd6d283f81f23,122
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:8e1ef881f068e90609a1c522,123
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:1451d04e6ca2c720248f7d23:0000,124
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:3d65dbdd98ac7b6721625e87,125
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:453a79572923ca77d796a11c:0000,126
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:edd8aae97783150373a9dde2:0000,127
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:fbd4e9f4fd61dcc968d2b3f6:0000,128
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:068f65757cf4c68290363d73:0000,129
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:947b39ee422469a4ae5abbb4:0000,130
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:91e214b340eec1d3d6e7b8f9,131
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:03e924b672fd11c6798c8f99:0000,132
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:955447ab89e7369cf6759f79:0000,133
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:4b9b75979db085147ff38845,134
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:266502df38443a86d16fdf11:0000,135
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:98c94c545552ba3f995cfee9,136
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:9ac7c250bac402115c5cb882:0000,137
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:be6b762cb670212f5d49f9ce:0000,138
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:604edc7d53aa35bfed83ea22:0000,139
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:ee98b97cb142eb62a29a421e:0000,140
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:c44bfff98841e0dd899403bb:0000,141
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:9f009da9b05319389e65f3f3,142
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:b87af3264f0c20dab32b0b89,143
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:8c66a5fe6743fb56ed8bf9cd,144
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:0963ddcaccb178fdfb01284a,145
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:c9c9fd7d52bad9fdb6b4dabd,146
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:6aa716e8066145ef9e3ec5e7:0000,147
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:ec48415a17e8d9557b476311,148
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:2843a90ae4fa9cc787eba159:0000,149
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:f2378921b463fe78c5c4ec32,150
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:2a2667034df1fb8a15ed1de9:0000,151
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:b3c16fa037fcaeebc47e4211,152
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:50bd9c72048d36544c0e4fd3:0000,153
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:4b8505b0899f9ded025aa9f4,154
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:c4a2837d7e26d487bdc0d76c,155
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:f6bfb23bcc1c80826d617fd1:0000,156
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:a0701b1f6d2e56d58795a88f:0000,157
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:5f34a0aef706e5a366d5a05b,158
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:fda1112cc2700cab6161459a,159
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:f70f39b16e622fa511893b34,160
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:da25236e843ded29a565c14e:0000,161
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:9ab0b928ea121bb71eaeb2e6:0000,162
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:8a163d0f3b1cd364d65fd919,163
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:69f57122327add27c17ceadd:0000,164
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:ffa0668495bc98879bc85013,165
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:dccc7c0473c1b345d7973071:0000,166
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:094f924d9609d80d568316e5,167
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:8d6474d7631bf1ecf2b9c148:0000,168
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:78f959973176a8d0c99cb8a7,169
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:0f50bfd75c405abc534146c2,170
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:6d57f5ecc34915240889b5a3:0000,171
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:b9949eb78ad09fb8437d8d04,172
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:aea98052275d405f4336a585:0000,173
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:8a1593f4d1f6562e0365af23,174
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:ee754ab6cd73e13446a248ca,175
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:6f24b7dc8e6527307c61d699,176
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:637b92352a896fce3abb36ed,177
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:3fda4f86a61a16dd4123a90c:0000,178
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:55cccdf2e5d27ac77209b101:0000,179
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:44951cbf9d6cf749ec13abbc:0000,180
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:e55431b8f7f2cfd412e72aa0,181
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:09fc186ea8e852d3593ab772:0000,182
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:40d59e39b639d40f18c8691b,183
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:fabf07740f7e5b64d6c56c37,184
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:0b960c3bcfcc6eff8b491b15,185
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:f6b3a0d4cf48245b84702ef2:0000,186
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:2f130c1c5c9e00e6c5121bfd,187
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:9ac08b92471c6e95e8112b62,188
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:e89e45217db09a6bb8b8fbf8:0000,189
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:dcef7fadcd4cd11927b12b52,190
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:92ba451e746e98e6d387069c,191
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:16c2ba12d3b6d13774711741,192
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:1a136b254851647540fa03ef,193
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:eb7099afea00ddbd92c7ec7f:0000,194
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:20b0b7be512f90ffa0935a60:0000,195
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:b3256cb25b30aebcdbd01b3e:0000,196
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:0f598f6e1684e6e134ddb443:0000,197
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:87b371277ba0a58d2544e3f5:0000,198
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:9d08e957e981cc0bfbd426c6:0000,199
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:ed2a3a8b9508bf71c395eb30,200
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:d8f120b6d19441d02e5864a4:0000,201
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:4b16f535834e20b93cd353ce,202
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:0f0db4b746af9bf8bdddcefd,203
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:57c239f25bf9f62d97925785,204
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:a99143080d99025a554fa9c3:0000,205
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:a10258f20b6d2439d7601a91:0000,206
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:bd433899d8c9434431b0d37c,207
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:b911351a01fccb8c5304d233,208
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:753d80ffd34629845939a210:0000,209
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:7dedbda2a755360e011ace43,210
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:97c10e130c1a0cb9d4b897c8,211
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:2ed18800dbcd3cd438200acf:0000,212
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:cefd5f8cec4fd6b57cc8ea43,213
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:508be81be5f2144cdc3dce40:0000,214
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:d3518caca41b76df34cc0e71:0000,215
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:350d445e90f820f78cc0c105,216
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:e39aa31b3b4f34736ba2d11f,217
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:66c2da3449943e5b18a3a859,218
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:907ecd442357dcf7f096043d,219
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:961a898e1268f6b01bd96e21:0000,220
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:1a53f87dfa58a2c23b76e5eb:0000,221
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:55e0c49305876961c59bc094,222
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:153803d97ad63c89f9d6a1cf,223
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:1de5be7e74260d58bb834e85,224
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:c58f3c62846a7f7eedced618:0000,225
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:d5ce243bfb0744f2a5242ca6:0000,226
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:323bda0e2fce1985fde4ec98,227
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:32be146cfd62c708ea85401c:0000,228
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:c4da6ea298369be8b4a434b7:0000,229
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:d4bf21a3b56358ab2cef49f3,230
